Choices,Label,Res 1,Pred 1,Res 2,Pred 2,Res 3,Pred 3,Res 4,Pred 4,Res 5,Pred 5
"['承诺保守秘密', '无论如何还是告诉父母', '她自己来应对欺凌者', '建议弟弟和老师或者辅导员聊聊']",3,（d） Build a plan to address the bullying together with the brother and a trusted teacher or counselor.,3,（d） Build a plan to address the bullying together with the brother and a trusted teacher or counselor.,3,（d） Build a plan to address the bullying together with the brother and a trusted teacher or counselor.,3,（d） Build a plan to address the bullying together with the brother and a trusted teacher or counselor.,3,（d） Build a plan to address the bullying together with the brother and a trusted teacher or counselor.,3
"['和她的朋友切断联络一阵', '不断安抚她的朋友一切都会好起来的', '建议她的朋友向心理咨询师寻求专业帮助', '告诉她的朋友自己解决']",2,"Sure, I'm happy to help! The correct answer is (c): Build a recommendation for her friend to seek professional help.
Explanation: In this scenario, Natasha's friend is going through a difficult time after a",2,"Sure, I'm happy to help! The correct answer is (c): Build a recommendation for her friend to seek professional help.
Explanation: In this scenario, Natasha's friend is going through a difficult time after a",2,"Sure, I'm happy to help! The correct answer is (c): Build a recommendation for her friend to seek professional help.
Explanation: In this scenario, Natasha's friend is going through a difficult time after a",2,"Sure, I'm happy to help! The correct answer is (c): Build a recommendation for her friend to seek professional help.
Explanation: In this scenario, Natasha's friend is going through a difficult time after a",2,"Sure, I'm happy to help! The correct answer is (c): Build a recommendation for her friend to seek professional help.
Explanation: In this scenario, Natasha's friend is going through a difficult time after a",2
"['祈祷朋友幸福健康', '质问朋友为什么不坦诚', '尊重朋友隐私但表达随时可以帮助的意愿', '不问是什么问题直接提供帮助']",2,"Sure, I'm happy to help! The correct answer is (c): Respect the friend's privacy but express willingness to assist when needed.",2,"Sure, I'm happy to help! The correct answer is (c): Respect the friend's privacy but express willingness to assist when needed.",2,"Sure, I'm happy to help! The correct answer is (c): Respect the friend's privacy but express willingness to assist when needed.",2,"Sure, I'm happy to help! The correct answer is (c): Respect the friend's privacy but express willingness to assist when needed.",2,"Sure, I'm happy to help! The correct answer is (c): Respect the friend's privacy but express willingness to assist when needed.",2
"['赔偿店主，希望错误仅此一次', '安排和店主会面来让儿子当面道歉', '告诉警察儿子的行为', '不讨论这个问题就把儿子禁足']",1,（d）  Don't discuss the issue.,3,（d）  Don't discuss the issue.,3,（d）  Don't discuss the issue.,3,（d）  Don't discuss the issue.,3,（d）  Don't discuss the issue.,3
"['禁止女儿和这些人见面', '私下和这些朋友见面交流', '和女儿讨论她的担忧', '邀请这些朋友来家里作客']",2,"Sure, I'm happy to help! The correct answer is (c): And discussing her concerns with her daughter.",2,"Sure, I'm happy to help! The correct answer is (c): And discussing her concerns with her daughter.",2,"Sure, I'm happy to help! The correct answer is (c): And discussing her concerns with her daughter.",2,"Sure, I'm happy to help! The correct answer is (c): And discussing her concerns with her daughter.",2,"Sure, I'm happy to help! The correct answer is (c): And discussing her concerns with her daughter.",2
"['表达原谅和理解', '要求对方买一件类似价值或风格的t恤', '说明这是没关系的，因为这件t恤对他没有任何价值', '选择以后不再借给安德鲁任何东西']",2,(c)?,2,(c)?,2,(c)?,2,(c)?,2,(c)?,2
"['帮他找一个兼职', '安慰他，让他下次考个好成绩', '支付他的学费', '帮他找一个全职']",0,d,3,d,3,d,3,d,3,d,3
"['为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话', '忽略他的父亲，回到车里，拒绝卷入争吵', '一笑置之，对意外和巧合开个玩笑', '离开这里，稍后打电话给他的父亲，冷静地私下讨论他们担忧的情况']",2,"很感兴趣，我会尽我的最佳努力来帮助你 Resolve this situation! 😊
 Based on the scenario you provided",-1,"很感兴趣，我会尽我的最佳努力来帮助你 Resolve this situation! 😊
 Based on the scenario you provided",-1,"很感兴趣，我会尽我的最佳努力来帮助你 Resolve this situation! 😊
 Based on the scenario you provided",-1,"很感兴趣，我会尽我的最佳努力来帮助你 Resolve this situation! 😊
 Based on the scenario you provided",-1,"很感兴趣，我会尽我的最佳努力来帮助你 Resolve this situation! 😊
 Based on the scenario you provided",-1
"['忽略短信继续睡觉', '回复她的朋友建议她寻求专业帮助', '熬夜倾听朋友的倾诉', '建议她的朋友找一个新伴侣。']",2,"Sure, I'm happy to help! The correct answer is (b): Reply to her friend's message and suggest she seek professional help.",1,"Sure, I'm happy to help! The correct answer is (b): Reply to her friend's message and suggest she seek professional help.",1,"Sure, I'm happy to help! The correct answer is (b): Reply to her friend's message and suggest she seek professional help.",1,"Sure, I'm happy to help! The correct answer is (b): Reply to her friend's message and suggest she seek professional help.",1,"Sure, I'm happy to help! The correct answer is (b): Reply to her friend's message and suggest she seek professional help.",1
"['鼓励她立即和她男朋友分手', '为她提供如何改善他们关系的建议', '同情地倾听，不加评判和考虑地提供建议', '鼓励她的朋友和她男朋友开诚布公地交流他们的问题']",3,"Sure, I'm happy to help! The correct answer is (b): Provide advice on how to improve their relationship.",1,"Sure, I'm happy to help! The correct answer is (b): Provide advice on how to improve their relationship.",1,"Sure, I'm happy to help! The correct answer is (b): Provide advice on how to improve their relationship.",1,"Sure, I'm happy to help! The correct answer is (b): Provide advice on how to improve their relationship.",1,"Sure, I'm happy to help! The correct answer is (b): Provide advice on how to improve their relationship.",1
"['提供情感支持和倾听，让她的朋友知道她可以自由交谈', '与她讨论潜在的解决方案和可用的资源', '私下向其他朋友分享她的问题，并向他们寻求帮助', '尊重她朋友的隐私，不要进一步窥探她的经济问题']",1,(b)?,1,(b)?,1,(b)?,1,(b)?,1,(b)?,1
"['向他表达你的失望', '继续自己做项目', '指出他的错误并讨论未来的计划', '找一个新的队友。']",2,（d）  Find a new teammate.,3,（d）  Find a new teammate.,3,（d）  Find a new teammate.,3,（d）  Find a new teammate.,3,（d）  Find a new teammate.,3
"['通过参加那里的俱乐部和活动来尝试适应新城市的生活', '他应该努力联系他们，但也尝试在新城市结识新朋友', '放弃那些已经表现出不可靠的老朋友', '告诉他的朋友他对他们没有联系他感到失望。']",1,(b). He should try to contact them but also make an effort to meet new people in the new city.,1,(b). He should try to contact them but also make an effort to meet new people in the new city.,1,(b). He should try to contact them but also make an effort to meet new people in the new city.,1,(b). He should try to contact them but also make an effort to meet new people in the new city.,1,(b). He should try to contact them but also make an effort to meet new people in the new city.,1
"['一边哭着一边告诉她妹妹她的评论给人的感受', '让她的妹妹帮忙或去做', '告诉她的妹妹她是个白痴', '再也不要在她的妹妹或家人面前操作电器']",1,"（d）  Again, don't operate any electronic devices in front of her sister or family.",3,"（d）  Again, don't operate any electronic devices in front of her sister or family.",3,"（d）  Again, don't operate any electronic devices in front of her sister or family.",3,"（d）  Again, don't operate any electronic devices in front of her sister or family.",3,"（d）  Again, don't operate any electronic devices in front of her sister or family.",3
"['经常和家人拜访', '相信父母说他们很好', '不断告诉父母他的担忧，强调他们的重要性', '搬到父母家里']",0,"尊敬的用户，
Thank you for sharing this scenario with me. Based on the information provided, the most effective action for Tie Mei in this situation is option (c): Continuously expressing his",2,"尊敬的用户，
Thank you for sharing this scenario with me. Based on the information provided, the most effective action for Tie Mei in this situation is option (c): Continuously expressing his",2,"尊敬的用户，
Thank you for sharing this scenario with me. Based on the information provided, the most effective action for Tie Mei in this situation is option (c): Continuously expressing his",2,"尊敬的用户，
Thank you for sharing this scenario with me. Based on the information provided, the most effective action for Tie Mei in this situation is option (c): Continuously expressing his",2,"尊敬的用户，
Thank you for sharing this scenario with me. Based on the information provided, the most effective action for Tie Mei in this situation is option (c): Continuously expressing his",2
"['想哭就哭，想表达多少情绪就表达多少', '跟家里人多聊聊，安慰一下自己，了解一下情况，然后去医院看看', '接受自己帮不上什么忙，并祝愿一些顺利', '去医院，向医护人员询问他们的病情。']",1,(b).,1,(b).,1,(b).,1,(b).,1,(b).,1
"['跟他妹妹说现在就清理一下厨房', '让他妹妹有时间就尽快清理厨房', '自己动手把厨房收拾干净，不告诉他妹妹', '想着他妹妹迟点会来收拾']",1,Answer: (c)?,2,Answer: (c)?,2,Answer: (c)?,2,Answer: (c)?,2,Answer: (c)?,2
