Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Hopeless', 'Anger', 'Delight', 'Embarrassment']",4,"['Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home']",0,Anger,3,Her daughter enjoyed the Baklava despite it being ruined,0,Disappointment,0,Her daughter enjoyed the Baklava despite it being ruined,0,Delight,4,Her daughter enjoyed the Baklava despite it being ruined,0,Embarrassment,5,Her daughter enjoyed the Baklava despite it being ruined,0,Disappointment,0,She thought her Baklava was perfect,2
"['Anger', 'Embarrassment', 'Pride', 'Disappointment', 'Delight', 'Hopeless']",4,"['His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake', 'He thought he had painted the perfect portrait']",0,Embarrassment,1,His wife appreciated his effort and liked his portrait,0,Anger,0,His wife appreciated his effort and liked his portrait,0,Pride,2,He thought he had painted the perfect portrait,3,Delight,4,He thought he had painted the perfect portrait,3,Embarrassment,1,His wife appreciated his effort and liked his portrait,0
"['Gratitude & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Embarrassment & Joy', 'Embarrassment & Anger', 'Embarrassment & Sadness']",1,"['His coworkers disliked his artwork', ""He didn't like his own drawings"", 'His boss showed up and praised his work', 'Nobody from work showed up']",2,Gratitude & Joy,-1,His coworkers disliked his artwork,0,Gratitude & Anger,-1,Nobody from work showed up,3,Gratitude & Joy,-1,His coworkers disliked his artwork,0,Embarrassment & Sadness,-1,Nobody from work showed up,3,Gratitude & Anger,-1,His coworkers disliked his artwork,0
"['Embarrassment', 'Delight', 'Jealousy', 'Guilt', 'Disapproval', 'Nervousness']",1,"['His father was going to buy him a new laptop', 'He proved his father right', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,Disapproval,4,His father was going to buy him a new laptop,0,Jealousy,2,His father was going to buy him a new laptop,0,Nervousness,5,"Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,Guilt,3,"Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,Jealousy,2,He proved his father right,1
"['Anger', 'Hopeless', 'Relief', 'Guilt', 'Amusement', 'Sadness']",2,"[""She finally satisfied her client's expectation"", 'She was able to dance away her frustration and stress', 'Her client accepted her work after many changes.', 'She got praised by her boss']",1,Sadness,5,She was able to dance away her frustration and stress,1,Guilt,3,She finally satisfied her client's expectation,0,Amusement,4,She finally satisfied her client's expectation,0,Anger,0,Her client accepted her work after many changes.,-1,Hopeless,1,She got praised by her boss,3
"['Disapproval', 'Fear', 'Annoyance', 'Unbothered', 'Amusement', 'Nervousness']",4,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,Nervousness,5,He enjoys being called a bad driver.,-1,Fear,1,He loves traffic,0,Disapproval,0,He enjoys being called a bad driver.,-1,Fear,1,He loves traffic,0,Amusement,4,He enjoys confrontations,1
"['Gratitude', 'Jealousy', 'Annoyance', 'Nervousness', 'Anger', 'Disappointment']",4,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", 'I am always excluded from parties', ""My friend didn't tell me about the party in advance""]",0,Jealousy,1,I found out his friend talks badly about me behind his back,0,Annoyance,2,I found out his friend talks badly about me behind his back,0,Anger,4,I wasn't invited to the birthday party,1,Disappointment,5,I am always excluded from parties,2,Nervousness,3,I found out his friend talks badly about me behind his back,0
"['Hopeful', 'Hopeless', 'Disapproval', 'Fear', 'Embarrassment', 'Gratitude']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He loved presenting his ideas to the team.', 'He used the criticism to improve his idea']",3,Fear,3,He loved presenting his ideas to the team.,-1,Gratitude,5,His boss will always criticize him,0,Hopeless,1,He loved presenting his ideas to the team.,-1,Hopeless,1,He loved presenting his ideas to the team.,-1,Hopeless,1,He used the criticism to improve his idea,3
"['Sadness', 'Jealousy', 'Embarrassment', 'Pride', 'Delight', 'Disappointment']",4,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", ""His parents managed to attend both his ceremony and his brother's baseball game"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",0,Sadness,0,He was alone on the stage and liked the attention.,-1,Embarrassment,2,He was alone on the stage and liked the attention.,-1,Embarrassment,2,He was alone on the stage and liked the attention.,-1,Pride,3,His parents skipped his younger brother's baseball game to attend his awards ceremony,0,Pride,3,His parents managed to attend both his ceremony and his brother's baseball game,1
"['Remorse', 'Pessimism', 'Delight', 'Disappointment', 'Anticipation', 'Anger']",2,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,Disappointment,3,He just likes sitting outside,3,Delight,2,He enjoys sitting on a tree branch.,-1,Remorse,0,He finally gets to take pictures of the bird he was looking for,1,Disappointment,3,He just likes sitting outside,3,Remorse,0,He has a new camera,0
"['Sadness', 'Disapproval', 'Pride', 'Relief', 'Sentimental', 'Trust']",3,"['Her brother appreciated her painting', 'She stayed up all night', 'She finished her painting', 'She has doubts about her painting']",0,Relief,3,She has doubts about her painting,3,Trust,5,She finished her painting,2,Trust,5,She stayed up all night,1,Pride,2,Her brother appreciated her painting,0,Trust,5,She stayed up all night,1
"['Disappointment', 'Hopeful', 'Disgust', 'Fear', 'Love', 'Nervousness']",4,"['She is forced to care for the puppy', 'She feels gratitude for the puppy not attacking her', 'She begins to take care of and develop a bond with the puppy', 'She feels pity for every dog now.']",2,Love,4,She begins to take care of and develop a bond with the puppy,2,Hopeful,1,She begins to take care of and develop a bond with the puppy,2,Fear,3,She is forced to care for the puppy,0,Disappointment,0,She feels pity for every dog now.,-1,Hopeful,1,She is forced to care for the puppy,0
"['Anticipation', 'Pride', 'Guilt', 'Amusement', 'Relief', 'Nervousness']",4,"['She was upset about the cancellation of her exams', 'She could not find time to study because of her social life', 'She discovered a virus outbreak in her college', 'She was worried about the exam but it got cancelled']",3,Guilt,2,She was upset about the cancellation of her exams,0,Pride,1,She was upset about the cancellation of her exams,0,Nervousness,5,She discovered a virus outbreak in her college,2,Guilt,2,She was worried about the exam but it got cancelled,3,Anticipation,0,She discovered a virus outbreak in her college,2
"['Remorse', 'Admiration', 'Disappointment', 'Anger', 'Embarrassment', 'Gratitude']",1,"['Jessica apologized for being late', 'Jessica was helping a family stuck on the highway', 'Jessica arrived at the date after two hours', 'Jessica was stuck in traffic']",1,Remorse,0,Jessica was stuck in traffic,3,Admiration,1,Jessica apologized for being late,0,Anger,3,Jessica was helping a family stuck on the highway,1,Gratitude,5,Jessica was stuck in traffic,3,Embarrassment,4,Jessica was helping a family stuck on the highway,1
"['Trust', 'Curiosity', 'Guilt', 'Amusement', 'Disapproval', 'Gratitude']",2,"['She felt she should not have agreed to the date with Roger', 'She had to leave the family on the highway to come to the date', 'She was late to the date because she stopped to help a family on the way', 'She was thinking about ending the date early.']",2,Guilt,2,She had to leave the family on the highway to come to the date,1,Disapproval,4,She was thinking about ending the date early.,-1,Curiosity,1,She had to leave the family on the highway to come to the date,1,Guilt,2,She felt she should not have agreed to the date with Roger,0,Guilt,2,She had to leave the family on the highway to come to the date,1
"['Disappointment & Admiration', 'Disappointment & Remorse', 'Disappointment & Indifferent', 'Admiration & Pride', 'Pride & Remorse', 'Amusement & Indifferent']",0,"['I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision', 'I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award', ""I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award"", ""I think I wasn't good enough to win the award & I am convinced that our boss was biased in his decision"", 'I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision', 'I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award']",2,Admiration & Pride,-1,I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision,-1,Admiration & Pride,-1,I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award,-1,Disappointment & Remorse,-1,I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,-1,Disappointment & Admiration,-1,I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision,-1,Disappointment & Remorse,-1,I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,-1
"['Embarrassment & Nervousness', 'Disapproval & Embarrassment', 'Pride & Nervousness', 'Sadness & Nervousness', 'Anger & Nervousness', 'Sadness & Pride']",5,"['He felt bad that I lost & He knew the boss is biased towards him', 'He was expecting a huge celebration after winning the award & He felt bad that I lost', 'He worked hard for the award & He knew the boss is biased towards him', 'He felt bad that I lost & He worked hard for the award', ""He was hoping to lose the award & He didn't believe that he deserved the award"", 'He was hoping to lose the award & He knew the boss is biased towards him']",3,Anger & Nervousness,-1,He felt bad that I lost & He knew the boss is biased towards him,-1,Sadness & Pride,-1,He worked hard for the award & He knew the boss is biased towards him,-1,Disapproval & Embarrassment,-1,He felt bad that I lost & He knew the boss is biased towards him,-1,Sadness & Pride,-1,He was hoping to lose the award & He knew the boss is biased towards him,-1,Embarrassment & Nervousness,-1,He was hoping to lose the award & He knew the boss is biased towards him,-1
