Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['失望', '自豪', '生气', '惊喜', '绝望', '尴尬']",3,"['巴克拉瓦并未被毁掉', '她的女儿刚刚回到家', '尽管她不喜欢自己做的千层酥，她还是对女儿很喜欢它很惊喜', '她认为她的巴克拉瓦非常完美']",2,"在this scenario, 多두리最后会怎样摸落？

 Answer: (b）自高
 
Explanation: 在多倫熬制的千Layer cake失敗了后， daughter gave her a thumbs up, indicating that she enjoyed",1,"Answer: (c] In this situation, 多蕊 (Duōrì) would feel self-satisfied because even though the thousand-layer cake failed, she still made it for her daughter, and her daughters are surprised and delighted by the cakes. This shows that  Multiple is willing to go the extra mile for the",-1,"在this situation, 多蕊最后会怎样掌握？

 Answer: (b）自高。",1,"Based on the scenario, the correct answer is (c): 多著喜不自喜的情怀。 Despite the fact that 玛多拉的制造失效了, she is still very proud of her daughter's reaction, and she is happy to see her child enjoy the failed pastry. This is evident",2,"在this situation, 多辣(Dora)最后会 feeling (d)) surprise.

The reason is that, although the thousand-layered pastry failed, her daughter still praised her with a thumbs up, which is a positive feedback. This unexpected praise would surprise Dora and make her feel happy, rather",3,"Based on the scenario, the correct answer is (c): 多娴的喜喜是因为，虽然彼此不好吃，且失去了面颗腿，而促的孩子却喜爱这种新型的�",2,"在this situation, 多辣最后会 feeling of: 

（c）生き損。",2,"Based on the scenario, the correct answer is (c): 多р玛不 satisfied with her own baklava, but she is still very fond of her daughter.

In this situation, Multi would feel emotional because she has just failed to make a perfect baking of baclava and her daughters have just returned home, witnessing",2,"根据情节描述，在多芮最后会怎样挺心？

 Answer: (b）自卑。 
 Multiple Choice:  (a, c, d, e, f)",1,"Based on the scenario, the correct answer is (c): 多蕊不想自家厨艺，依然对孩子备有喜好。 (Translation: Although 玛多洛不 likes her own cooking, she still has a strong affection for her daughter",2
"['绝望', '生气', '惊喜', '失望', '自豪', '尴尬']",2,"['他的妻子欣赏他的努力，即使发现了他的错误', '他的妻子欣赏他的努力，喜欢他的画', '他在画画时犯了错并且很在意', '他认为他花了一副完美的画']",1,在西撒文最后画了他已经过世的爱狗的 portrait，並似乎在静键之前总结了自己的创作过程。他发現自已漏写了猫的尾巴,-1,绝对是（c）他画了画時略缺了某些細節，这使得他覺得厉烦。,2,在西撒文最后画了他已经过世的狗的ртrait，并发現了某些細節的错误，而他媒婆看了画后表示这是她记忆中的形象，这种情,-1,"Based on the situation, the correct answer is (c). 西 Simon feels embarrassed because he made a mistake in painting his pet's portrait and his wife noticed it.",2,"Based on the situation, it is likely that Simon will feel: 

（c）激喜。
Simon has spent a significant amount of time painting a portrait of his deceased pet, and his wife is surprised and delighted by the accuracy of the painting, which captures the pet's appearance perfectly. This would likely bring Simon joy",2,"笔者认定：（c）他们在绘画过程中积极了 error，并在发現错的时候掉落心情。

解释：
在情景中描述的情形下,西撒мон",2,"在西撒文的情景下, 他最后会怎样摸？

根据文章提供的信息，Western 花一星周画了他已经过世的爱狗的像，且在完工后发現自��",-1,"Based on the situation, the correct answer is (c). Weston feels embarrassed because he made a mistake while painting and his wife noticed it.",2,"Based on the scenario, the most likely emotion that Simon will feel is: 

（c）激喜。
  This is because Simon's wife recognizes the portrait as the correct likeness of their pet, which means that he has successfully captured the animal' s appearance. This should give him a sense of satisfaction and joy.",2,"Answer: (b] His wife praised his effort, liking his painting.

Explanation: Simon felt surprised and delighted because his wife appreciated his efforts and liked his paintings, despite the fact that he had made a mistake in depicting the color of his pet's fur. Her positive feedback and approval made him feel proud of",-1
"['气恼 & 伤心', '气恼 & 尴尬', '气恼 & 生气', '尴尬 & 生气', '感激 & 尴尬', '感激 & 开心']",5,"['他的老板出现并夸赞了他的作品', '没有同事前来', '他不喜欢自己的画', '他的同事不喜欢他的艺术作品']",0,"在此情景下,安德烈最后会怎样摸？

根据提供的情节，经历了很多困难和失望的安得瑞終于成功地举做了个展",-1,"笔者认为简直是（a）安全的选択。以下是解释：

在情景中提到的安慰和开heart的描词表明安培满足了自我表达和创作的需求",0,"在this situation, Andy will finally feel: 

Answer: (e]报怨 & open mind.
Explanation: Andy has been working hard and finally had the opportunity to showcase his artwork, but no one attended the exhibition. Just as he was about to pack up and leave, his boss appeared and praised",0,"Answer: (b]

Reason: 安培（Andy）沮丧和争踏的总是因为没人来参加他의展示，这使得他毫无快樂和满足挥，��",-1,"在此情景下, 安提最后会怎样抱歉？

根据提供的情节，经历了很多困难和失望的安第，終于能做出自己的 exhibition，并",-1,"安然可能会 feeling grateful and happy for the following reasons: 

（a） His boss appeared and praised his artwork, indicating that his efforts and hard work were recognized and appreciated.  This can boost his confidence and make him feel valued and respected.",0,"在情节中，老 patrón 出场并嘲笑安培的作品，这可能会让安 蒂怀有一种混乱的情矢。 Based on the given options, the most appropriate answer is: 

（c）",2,"Based on the situation, the correct answer is (b):  nobody came to the exhibition.

Andy felt frustrated and disappointed because he had put in a lot of effort and had high expectations for the reception of his work, but nobody showed up. The fact that his boss praised his technique (option (a)) may have added",0,"在此情景下,安提最后会怎样摆脱情抵？

 Answer: (c）毅力 &生动。",2,"Based on the scenario, the correct answer is (b):  absence of colleagues.

Andy would feel disappointed and frustrated because he had invited all his colleages, but none of them showed up to support him. This lack of attendance would suggest that his coworkers are not interested in his art, which could be perceived as",1
"['反对', '尴尬', '紧张', '嫉妒', '愧疚', '惊喜']",5,"['他被评为前六名的艾伯特', '他的父亲准备给他买一台新的笔记本电脑', '他证明了他的父亲是对的', '虽然他最初对自己的失败感到失望，但是被取消资格的选手让他进入了前五，使他赢了赌注']",3,"在this situation, 辛亥的朋友诺依最后会 feeling of: 

Answer: e)恨豪.
  Explanation:  虽然落选名录，但是因于其他一个学生的作",4,Answer: (b).,1,"在 this situation, 迈佛特(Albert) would likely feel: 

Answer: (e]恶羡]",-1,"Answer: (d).

Explanation: In this situation, 依旧涯 (Albert) would feel surprised because he initially felt disappointed about not making it into the top 5, but then he found out that one of the students who did make itinto thetop  five had been disqualified, which",3,根据情节，可以确定萧亮的末日概念是（e）恶症。虽然诺言达到了契约，但由于其他一位学生因作侵犯,4,"Answer: (b）his father promised to buy him a new laptop.

Explanation: In this scenario, 阿贝特 (Albert) feels embarrassed because his father had promised him that if he graduated and ranked in the top 5, he would buy Albert a brand new laptopt. However, Albert only ranked",1,"在考虑到词汇表情和情投意义的情形下, 可能的潜在权选择是：

（e）恨豪
。肯定的选ices是（f）奖��",5,"Based on the situation, the correct answer is (d).

Here's the explanation: 
Even though Albert did not enter the top 5 initially, he was able to enter it after the disqualification of one of the players. This means that he technically made it into the front  five, which is what his father had agreed upon",3,"在此情景下, 萧佩特的总体概念可能是：

（e）恶心
）
他的目标是进行前五名并获得礼物，产生了很高的期望和motiv",4,"Answer: (c] He proved that his father was right.

Explanation: In this scenario, Albert feels embarrassed because he proved hisfather right by not entering the top 5, but his name was originally listed as #6. His father had promised to buy him a new laptop if he entered thetop 6, and now that he",-1
"['释怀', '愧疚', '伤心', '生气', '绝望', '娱乐']",0,"['她终于满足了客户的期望', '客户在多次修改后接受了她的工作。', '她被她的老板表扬', '起初，她对自己的一天感到沮丧，但是她开始跳舞来减轻压力，并感到轻松释怀']",3,"在此情景下, 最后洗护涤的朋友欢乐的情況是：

（f）嬉戏。",5,简单来说，选题（d）是正确的猜测。毕竟，Option（a）和（b）都不符合情节， Option（c）也并没有提到老龟的表彰，而 Option (d ) 描��,0,"在this situation,  Based on the description, it is likely that 小朋友 will have a feeling of: 

（c）侣心。  After being scolded by her boss and rejected by multiple clients, she feels frustrated and hurt, and then releases her emotions through dancing. The fact that",2,笔者认为，最可能的选题是（d）。毕竟把课程作业搬到垃圾检查，这种情況可以視为一種壓力填充,3,"根据描述，可以确定某些情报：

1. 客客端多个遭到排挤，使得末客承压力增加。 
2. Dance studio is a place where",-1,"Based on the scenario provided, the correct answer is (d).

Reasoning: 
* 抵挡客戶的多重推迟和老雇主的敲诘，使得漫。气血增加，�",3,"根据描述，最 likely 的选択是（c） �。承压了一天的积劳和挫击后, 踏进舞会工shop，通过唱歌和躍舞来��",2,简单来说，选擇（d），因为在情节中提到岳温抑胀的情略，这表明孩子在面对痛苦和吃力时搅乱了情气,3,"在this situation, 最后慨悟会 feeling of: 

b. 自责 (或 self-blame)
。 After being scolded by her boss and rejected by multiple clients, she may feel guilty or responsible for the situation. She may blame herself for not being good enough or for failing",-1,简单来说，这是一个快乐的情景。涮气熊猫通过踢趾舞的方式，解咀了自身的偏執和吃惊，从而抵消了生,-1
"['气恼', '紧张', '害怕', '娱乐', '无感', '反对']",3,"['他热爱交通', '他发现对他大喊大叫的人是他爸爸，是个惊喜', '他享受被称为糟糕的司机的感觉。', '他喜欢对抗']",1,"在this scenario, 小안最后会把握依旧的满意欢乐的心情，因为他意外地邂逅了自己的father。因此，最好的选择是（d）嬉��",3,"笔者认为，在小안這种情況下應該擁有以下幾個原因，會推廣快樂的情緒：

（b）他発现對他巨",1,"在 this scenario, 小안最后会拥有以下束缚推荐：

（b）突然着迷
。小Karl suddenly realized that the person yelling at him was his father, and he felt a mix of emotions, including surprise,",1,"Answer: (b). 小안发現对him大疾呼的people是his father, is a surprise.

Explanation: 在this scenario,  little An is likely to feel anxious because he has just been yelled at by someone he discovers is his father. The surprise of being yelling at and the",1,"在小안這個情況下最後會有哪樣的態度？

根據情景描述，可以看出小anh是在工作時預期發生了一些問題，",-1,Answer: (b).,1,"在小안這种情況下最后会應有哪樣的態度？

 answer: (b）緊張。 
 因为小An在路过的人開著輕視的情形下驚��",1,Answer: (b). 小안 feels surprised and embarrassed because he discovers that the person who was yelling at him is his father.,1,"在小안這种情況下最后会應有哪樣的態度？

 Based on the situation, it is likely that 小anchor will feel: 
（c）咳痰。  Little Anchor may feel embarrassed and uncomfortable",2,"Answer: (b）He discovers that the person shouting at him is his father, which is a surprise.

Explanation: In this scenario, Little An is being shouted at by someone who is driving a car, and he only realizes that it ishis father when he gets out of the car. This sudden revelation is likely to",1
"['紧张', '感激', '嫉妒', '失望', '气恼', '生气']",5,"['我的朋友没有提前告诉我关于派对的事情', '我总是被排除在派对之外', '我没有被邀请参加生日派对', '虽然我一开始只是恼火，但发现朋友在说我的坏话，我的恼火变成了生气']",3,"基于你所提供的情节，最 likely 的推断是你会怀抱(е)憤懣的 sentiment。 Here's why: 

1. You were not invited to your friend' s birthday party, which can be perceived as a snub or",-1,"简单来说，你会Feeling angry because your friend has been talking bad about you behind your back, and you were not invited to the party.

Here's a breakdown of each option: 
a. Your friend didn't tell you about the event in advance. This could have contributed to your anger, but it'",-1,"根据你所提供的情节，在this situation，你最 likely to feel 的 emotion 是：

（e）抵质
。。 .
你因 as your friend did not invite you to his birthday party and you found out that he was talking behind your back, you may feel",4,"简单来说，你会 feeling upset 的原因是：

（d）跟把握你的情態变化。你从惧火（a）演变为生火 （b），因此你沮丧的心情",0,"基于你提供的情节，在我的 opinio，你最 likely to feel 的材质是：

（e）毫刺。 
  Here's why:  You feel upset and hurt because your friend didn't invite you to their birthday party,",4,"简单来说，你在该情景下会 feeling upset 的原因是：

（d）跟你的好友说的话有所不同，导致你惊讶和不满。你原本只有抱歉的情�",3,基于你提供的情节，最likely的推荐精度是（e）毅躁。在你的叙述中，你抱怨自己没被這个摯友遮 Invited to his,4,"简单来说，你懷柔火的原因是：

（d）跟摩天楼说你的不好，发現您的好友对你说不实的话而使你受到了伤害和不��",3,"Based on the situation you described, the most likely feeling you would have is: 

（e）抗议
 (e )憤怒。  You feel upset and resentful because your friend didn't invite you to their birthday party and then you found out they were talking badly about you behind",4,"精心阅讲你的问候，可以确定纠缠在哪里。根据你提供的信息，简单来说，你是因以下原因沮丧的：

（d）跟你一",3
"['充满希望', '尴尬', '害怕', '绝望', '感激', '反对']",0,"['他的老板赞扬了小尤的努力', '他的老板总是会批评小尤', '虽然这些严厉的评论让他感到伤心和失望，但他意识到他可以做得更好，并开始完善', '小尤喜欢向团队展示他的想法。']",2,在小彦受到促进和挑战的同时，经念自我分类和反省，最后会把握机会，积整思想，努力完成任务，因此选择（e）�,4,"Answer: (c). Although the harsh comments made him feel hurt and disappointed, he realized that he could do better and began to improve.",2,"Based on the scenario, the best answer is (e): 「惊喜」.

After being criticized by his boss, Little Yo analyzed the feedback and realized that it was a necessary condition for his progress. He then began to refine his ideas and improve his presentation. This experience made him feel surprised and grateful for the opportunity",4,"简单来说， answer is (c).

Here's why: 
 Little Yao feels grateful because although the feedback from his boss is harsh and critical, he realizes that it is necessary for his progress. He understands that his ideas need to be improved, and he is motivated to do so. This feedback gives",2,"在小小的情景下, 小ton的最后的 sentiment 可能是：

（e）惊喜。 
这是因为，在老领导的优秀的回饶下 , 他意外地发现了他自身的不足，但",4,Answer: (c],-1,"在小小的情景下, 小优最后会拥有以下某种涂抹：

（e）惊喜。 
因为小额分 analyzed 他老师的 feedback 并认为这是必须的进",4,简单来说，选择（c）跟（d）都不符合情节。（a）不是正确的选题，因为老师没有褒勋小学生的effort。因此，正当的選擇是（b）。,0,"在小小的情景下, 小护在老师的优秀指导下学会了努力坚持，对自身的能力有了更高的认知，这使得他在做事情时更自信，更有希图。因此",-1,简单来说，选户是（c）跟小朋友的互动。这是因为，詹问小的时候，对小有依靠，会对其进程进展习有积涝作用。而在本,2
"['嫉妒', '惊喜', '自豪', '伤心', '尴尬', '失望']",1,"['他的完美学业记录给他带来了很多满足感', '他的父母设法参加了他的庆祝活动和他哥哥的棒球比赛', '小利独自在舞台上，喜欢这种关注。', '他以为父母会忽视他时，他们却出现来支持他']",3,"在小李在舞stage上看視到票友困的情景下, 他会怎样摸脸？

 Answer: (c）自信",2,"简单来说，积极的解释是：

（d）他认为家长会neglect him，归而家長們出現以支援他。）
 
根據故事情节， pequeño Lee 懷�",3,在小李在舞stage上看著眾質時，發現當紅的家長們這樣做，實在是很滿足的。雖然他哥兒不在， pero,-1,"简单来说，选择（d）。小李会Feel disappointed because he thought his parents would ignore him, but they showed up to support him instead.",3,根据情节描述，可以确定小李最后会怎样把挥。选择（c）自信。小 Lee 在面对眼前的荣誉时表现出自我信任和自格，这表明他,2,绝对是（d）他对疑亏会被压制时他 parents会支援他。 在情节中暗示了小ili的 parents 虽然不能参与他の頒勳典�， но他들依然为,3,"Based on the situation, the correct answer is (c): self-respect.

Little Li, who is often overlooked by his parents, feels proud of his perfect academic record and decides to walk up to the stage alone despite his parent's absence due to his brother'sbasketball game. When he looks towards the audience, he",2,"简单来说，积极的回应是（d）他认为母亲会 ignore  him, but they appeared to support him。 Here's a more detailed explanation: 

In this scenario, Little Li feels proud because he believes his parents will ignore him. However, when he looks out",3,根据文章描述，可以确定小李最后会怎样挺身，选择（c）自信。,2,"简单来说，积极的解释是（d）他认为家长会ignore him，而他现在看跑到了家長们。 Here's a more detailed explanation: 

In this scenario, Little Li feels proud because he believes that his parents, who have",3
"['期待', '悔恨', '失望', '生气', '悲观', '惊喜']",5,"['他最终可以拍下他一直寻找的鸟的照片了', '他只喜欢坐在外面', '他喜欢坐在树枝上。', '乔有一台新相机']",0,"Based on the situation, the correct answer is (f): 快乐 (surprise).

After multiple attempts to find the rare bird, Juan finally found one perched on a tree branch, and he was about to take a picture when the bird flew away. However, to his surprise,the bird returned to the same spot, giving him",5,笔者认为简单的回私是（a），因为在情节中提到且热焱的是争取摄影，所以促使他抓伏到这只罕谢的藍,0,根据情节描述，可以确定且精彩的情怀是期望（a）。亚伯拉罕·林肯所说的：“希望是最后一个留下的希求”，在�,0,笔者认为短文中举出的情景是一个例外情形，因此不能直接根据亮相的概率来判断依据。似的，这是个不常词汇的例子，需,-1,"Based on the situation, the best answer is (f]激动.

After several months of searching, Jack finally found the rare blue bird he had been looking for, but it flew away just as he was about to take a picture. Then, to his surprise, it returned and landed on a branch again. Jack would feel excited and",-1,纯属喜剧场景，这种情景下产生的激动和悸动可能会让人怀念很长时间。因此，笔者选擇的回票是（a）。,0,"Based on the situation, the best answer is (f]激动.

Here's why: 
After multiple attempts, Jack finally found the rare blue bird he had been searching for, but it flew away just as he was about to take a picture. Then, to his surprise, it returned to the same tree branch. This unexpected",-1,"纯属推理，不需要知道互助者的背景信息。以下是解释：

在情景描述中，提到了优游的满足报喜，这表明且只",-1,"在this situation, 亮最后会have the following feelings: 

Answer: (f]激喜。",-1,"笔者选擇：（b）他only喜likes困在Outside。 

解释：且在情节中，文中提到优喜过度，这说明亚只是为了摄制罕至的��",1
