Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Anger', 'Pride', 'Delight', 'Embarrassment', 'Hopeless']",3,"['Her daughter enjoyed the Baklava despite it being ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home', 'The Baklava was not ruined']",0,Pride,2,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan.
Therefore, the correct answer is option (d) - The Baklava was not ruined",3,Pride,2,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan. Therefore, (d) is incorrect. Since the Baklava was ruined, Dorea would feel hopeless about her cooking skills. Option (a) is incorrect because Dorea did not know if her daughter liked ruined food until her daughter tasted it. Options (b) and (c) have no relevance to why Dorea would feel hopeless.",0,Pride,2,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan.
Therefore, the correct answer is option (d) - The Baklava was not ruined",3,Pride,2,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan. So, (d) is incorrect. Since the Baklava was ruined, Dorea should have felt disappointed or even angry instead of feeling hopeful. Hence, option (a) is wrong. Option (c) is also incorrect since it does not explain why Dorea would feel hopeless. Therefore, the correct answer is (b).",0,Pride,2,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan. So, option (d) is incorrect. Since the Baklava was ruined, Dorea should have felt disappointed or even hopeless. Option (b) is also incorrect because no mention of perfectionism is given. Option (c) is incorrect because it does not explain why Dorea would feel those emotions. Finally, option (a) is incorrect because it does not match the scenario. The correct answer is:

(e) Both (a) and (c)",0
"['Disappointment', 'Anger', 'Delight', 'Hopeless', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He thought he had painted the perfect portrait', 'He made a mistake in a painting he cared about']",1,Pride,4,The correct answer is (d) because he made a mistake in a painting he cared about.,3,"Pride is feeling satisfaction with yourself or your work; admiration of oneself or one's own abilities or quality. In this case, Simon might feel pride because he has finished painting the portrait of his deceased pet.",4,The correct emotion is (d) because Simon felt embarrassed because he made a mistake in a painting he cared about.,3,"Pride is the feeling of satisfaction from doing something well or achieving something. In this case, Simon achieved what he set out to do - paint a portrait of his deceased pet. His wife's reaction also added to his pride as she thought the painting was accurate. Therefore, the correct answer is (e) pride.",4,The correct emotion is (d) because Simon felt pride even though he made a mistake in painting his deceased pet.,3,Pride,4,The correct emotion is embarrassment because Simon made a mistake in a painting he cared about.,-1,"Pride is the feeling of self-esteem or satisfaction with oneself or one's own abilities or quality. In this case, Simon would feel pride because he has finished painting the portrait of his deceased pet.",4,The correct emotion is (d) because Simon felt embarrassed because he made a mistake in a painting he cared about.,3
"['Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",0,"['His boss showed up and praised his work', 'His coworkers disliked his artwork', 'Nobody from work showed up', ""He didn't like his own drawings""]",0,"Andy will feel gratitude towards his boss because they showed up and praised him despite no one else attending his exhibition. He may also feel joy from his boss' praise. Ultimately, the correct answer is (a) Gratitude & Joy.",0,Andy felt gratitude because his boss showed up and praised his work.,0,"Andy would likely feel gratitude towards his boss for showing up and expressing appreciation for his work. However, since no one else from work showed up, he might also feel embarrassment and sadness due to being ignored or snubbed. Ultimately, the correct emotions would be (a) Gratitude & Sadness.",0,Andy felt gratitude because his boss showed up and praised his work.,0,"Andy would feel gratitude towards his boss because they showed up despite him not inviting them. He might also feel joy from receiving praise for his artwork. The other emotions do not fit the situation.
Final answer: (a)",0,Andy felt gratitude because his boss showed up and praised his work.,0,Andy felt gratitude because his boss noticed his paintings and praised him. He also felt embarrassment because no one from his work showed up to support him. The emotions that Andy feels ultimately is (a) Gratitude & Joy.,0,"Andy feels gratitude because his boss showed up and praised his work.
He also feels joy due to the positive attention he received from his boss.",0,"Andy is likely to feel gratitude towards his boss for showing up and expressing appreciation for his artwork despite no one else attending his exhibition. However, he might also feel some anger or disappointment that none of his colleagues decided to show their support. Ultimately, the correct answer should combine both emotions.
The correct answer is:
(e) Gratitude & Anger",4,Andy felt gratitude because his boss showed up and praised his work. He also felt anger because none of his coworkers showed up to support him.,0
"['Guilt', 'Disapproval', 'Delight', 'Embarrassment', 'Jealousy', 'Nervousness']",2,"['He was named in the top 6', 'He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5']",3,"One of the students above Albert graduated despite cheating. This means that if the cheater hadn't cheated, Albert would have been able to graduate. Therefore, Albert would be jealous because he didn't achieve what he wanted even though others did something wrong.
The correct answer is (e).",4,Albert felt jealous because he graduated but wasn't in the top 5.,-1,Albert would feel disappointment because he did not meet the conditions of the deal.,-1,"The correct answer is (d) because one of the top 5 contestants had cheated and was disqualified, which put Albert into the top 5.",3,Albert would feel disappointment because he did not meet the conditions of the bet.,-1,"Albert did not make the top 5 so he is feeling nervous because he didn't achieve what he set out to do. Option (a) is incorrect as it does not explain why he would be nervous. Option (b) is also incorrect because proving his father right would not cause feelings of nervousness. Option (c) is incorrect because receiving nothing would cause sadness or disappointment rather than nervousness. Option (d) is correct because if one of the top 5 contestants had cheated and was disqualified, this would have put Albert into the top 5 and achieved what he set out to do, causing him to feel nervous.",0,Albert would feel disappointment because he did not meet the conditions of the bet.,-1,"Albert did not make the top 5, so he feels nervous and disappointed. Option (a) is incorrect because it does not match the emotions described in the text. Options (b), (c), and (d) can be eliminated because they do not match the information provided in the text.",0,Albert would feel disappointment because he did not meet the conditions of the deal.,-1,"The correct answer is (d) because if one of the top 5 contestants had cheated and was disqualified, then there would be an opening at the top 5 spot which could have allowed Albert to graduate since he was ranked 6th.",3
"['Anger', 'Relief', 'Amusement', 'Hopeless', 'Sadness', 'Guilt']",1,"['She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'She got praised by her boss', 'Her client accepted her work after many changes.']",0,"After screaming and nodding to herself in the mirror, Momo feels relieved of her stress. She felt anger initially but overcomes it through dancing.
Final answer: (b)",1,"After arriving at the dance studio, Momo felt relief when she started dancing because it helped her escape her stressful life. So emotion (a) is the correct answer.",0,"After screaming and dancing, Momo closes her eyes and nods to herself in the mirror. This shows that she feels relieved after expressing her anger through dancing.
Therefore, the correct answer is (b)",1,"After arriving at the dance studio, Momo screamed and started dancing. This shows that she felt relief because she was able to express her anger through dancing. Option (a) is the correct answer.",0,"After screaming and dancing, Momo closes her eyes and nods to herself in the mirror. This suggests that she feels relieved after releasing her stress through dancing.
Therefore, the correct answer is (b).",1,Option (a) is the best choice because it explains why Momo felt relief - she was able to dance away her frustration and stress. The other options do not explain why she would feel those emotions in that specific situation.,0,"After screaming and dancing, Momo closes her eyes and nods to herself in the mirror. This suggests that she feels relieved after releasing her stress through dancing.
Therefore, the correct answer is (b).",1,"After arriving at the dance studio, Momo felt relief when she started dancing because it helped her relieve her stress and frustrations. The emotion of relief is present in the text. Option (a) is the correct answer.",0,"After screaming and dancing, Momo closes her eyes and nods to herself in the mirror. This suggests that she feels satisfaction or relief after expressing her anger through dancing.
Therefore, the correct answer is (b)",1,Option (a) is the correct choice because it best describes how dancing can be an escape for stress and frustration.,0
"['Disapproval', 'Amusement', 'Fear', 'Nervousness', 'Annoyance', 'Unbothered']",1,"['He enjoys being called a bad driver.', 'He enjoys confrontations', 'He loves traffic', 'The person shouting at him turned out to be his dad']",3,"Andre is initially annoyed because someone was shouting at him. However, once he realizes it is his father, he might feel nervousness or fear as they talk. Ultimately, he will likely feel some combination of these emotions.",2,Answer: (d),3,Andre would likely feel nervousness or even fear because he is confronted by someone he knows who is angry with him.,2,Andre feels unbothered because he is not bothered by the confrontation or the traffic.,-1,Andre is going to feel nervousness because he got into an argument with his father while driving on his way to work.,3,Answer: (d),3,Andre would ultimately feel nervousness because he is confronted by his father while driving to work during a traffic jam.,3,Answer: (d),3,"Andre is initially annoyed because someone was yelling at him. However, once he realizes it is his father, he might feel nervousness or even fear since he is now confronted with an uncomfortable situation with his parent. Ultimately, I believe he will feel nervousness (d).",3,"Andre feels nervous because he is confronted by someone he knows, which can make people feel uncomfortable. It is also possible that he felt nervous due to the stressful situation of being stuck in traffic. Ultimately, the correct answer is (d).",3
"['Jealousy', 'Anger', 'Disappointment', 'Annoyance', 'Gratitude', 'Nervousness']",1,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",0,Anger,1,Angry because of being left out of the party; nervous because of possible future exclusion or bad talk.,-1,Anger,1,"Anger is usually caused when someone feels betrayed or disrespected. In this case, the friend did not invite the person to the party and talked badly about him/her behind his/her back. This can lead to feelings of anger and betrayal. Nervousness may be because the person does not know how to deal with the situation or what their friend will do next.",-1,Anger,1,You were not invited to the birthday party or you will be upset. Your friend is talking badly about you behind your back which makes you nervous.,-1,Anger,1,Angry because of being left out of the party; nervous because of what the friend might say or do next.,-1,Anger,1,You were not invited to the party or you will be angry at him. Your friend is talking bad about you behind your back so you may feel nervous because of this.,-1
"['Fear', 'Embarrassment', 'Hopeful', 'Hopeless', 'Gratitude', 'Disapproval']",2,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,Gratitude,4,Answer: (a),0,Gratitude,4,The correct answer is (a) because he used the criticism to improve his idea.,0,Gratitude,4,Answer: (a),0,Gratitude,4,Answer: (a),0,Gratitude,4,Answer: (a),0
"['Embarrassment', 'Pride', 'Jealousy', 'Sadness', 'Delight', 'Disappointment']",4,"[""His parents managed to attend both his ceremony and his brother's baseball game"", ""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",1,"Liam initially felt crushing disappointment when he learned that his parents wouldn't be at his award ceremony. However, as he climbed onto the stage and looked out into the audience, he saw his parents proudly sitting there, smiling and clapping for him. This change in perspective caused Liam to experience delight and pride instead of sadness or disappointment. Thus, the correct answer is (e).",4,The correct answer is (a) His parents managed to attend both his ceremony and his brother's baseball game.,0,"Liam felt crushed when he learned that his parents wouldn't attend his award ceremony. However, as he climbed onto the stage and looked out at the audience, he saw his parents sitting there proudly clapping for him. This shows that Liam experienced disappointment but also gained pride from seeing his parents support. The correct answer is (d) sadness and (b) pride.",1,The answer is (c) He had a flawless academic record which gave him a sense of pride.,2,"Liam felt crushed when he learned that his parents wouldn't attend his award ceremony. However, seeing his parents in the audience at the last minute changed his emotions from sadness to delight. The correct answer is (e).",4,The correct emotion is delight because Liam felt proud that his parents were there to support him at his awards ceremony despite their commitment to attend his brother's baseball game.,-1,"Liam felt a ""crushing"" feeling in his heart initially but then saw his parents who were smiling and clapping for him. This shows that his emotions shifted from sadness/disappointment to happiness as he realized his parents were there supporting him.
Therefore, the correct answer is (e) - delight",4,The correct emotion is delight because Liam felt proud that his parents were there to support him at his awards ceremony despite their commitment to attend his brothers baseball game.,-1,"Liam felt crushed because his parents were not attending his award ceremony. However, when he saw them at the ceremony, he felt ...",-1,The correct answer is (a) His parents managed to attend both his ceremony and his brother's baseball game.,0
"['Disappointment', 'Anger', 'Remorse', 'Delight', 'Pessimism', 'Anticipation']",3,"['He finally gets to take pictures of the bird he was looking for', 'He has a new camera', 'He just likes sitting outside', 'He enjoys sitting on a tree branch.']",0,Delight,3,Answer: (a) He finally gets to take pictures of the bird he was looking for,0,Disappointment,0,Joe feels anticipation because he wants to take a picture of the bluebird. Option (a) is the correct answer.,0,Delight,3,Joe would feel anticipation because he was hoping that the bird would stay put long enough for him to take its picture.,-1,Delight,3,Option (a) is the best choice because it explains why Joe would feel anticipation and delight when he finally spots the bluebird after months of searching.,0,Disappointment,0,Joe feels anticipation because he wants to take a picture of the bluebird. Option (a) is the correct answer.,0
