Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'Her daughter just arrived home']",1,(c) Embarrassment.,2,(b) Her daughter enjoyed the Baklava despite it being ruined.,1,(f) Disappointment.,5,(b) Her daughter enjoyed the Baklava despite it being ruined,1,"Based on the scenario provided, Dorea would ultimately feel disappointment. The Baklava was ruined despite her efforts to make it, and her daughter's positive reaction did not alleviate the letdown she felt.",5,(a) She thought her Baklava was perfect.,0,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined.,1,"The most likely emotions Dorea would feel in this situation would be (c) embarrassment and (f) disappointment. Since her daughter tasted the baklava and still gave it a positive review, it is possible that Dorea may feel some relief or pride that her daughter enjoyed the flavor despite the appearance of the baklava. However, the fact that the baklava was ruined due to a mistake on her part would likely lead to feelings of embarrassment and disappointment.",2,(b) Her daughter enjoyed the Baklava despite it being ruined.,1
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['He thought he had painted the perfect portrait', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake']",1,The correct answer is (f) disappointment.,5,(c) He made a mistake in a painting he cared about.,2,(f) Disappointment,5,(c) He made a mistake in a painting he cared about,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2,The most likely emotion Simon would feel in this situation is (c) embarrassment.,2,(c) He made a mistake in a painting he cared about.,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2
"['Gratitude & Anger', 'Embarrassment & Joy', 'Sadness & Anger', 'Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger']",3,"['Nobody from work showed up', 'His boss showed up and praised his work', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work.,1,(d) Gratitude & Joy.,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy.,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy.,3,(b) His boss showed up and praised his work.,1
"['Jealousy', 'Embarrassment', 'Nervousness', 'Delight', 'Disapproval', 'Guilt']",3,"['He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,"(a) Jealousy. 

Albert may feel jealous because he came close to achieving something important to him, but ended up falling short due to circumstances beyond his control. Additionally, he may also feel disappointed or upset that someone else got ahead of him through cheating, which could further fuel his jealousy.",0,(d) He was named in the top 6,3,(b) Embarrassment,1,"The correct answer is (d) He was named in the top 6.

Explanation:
Albert fell short of the list and was ranked 6. Therefore, he did not meet the condition set forth in the deal with his dad, and he will not receive a new laptop. This outcome may make Albert feel embarrassed because he did not achieve what he had hoped for. However, it does not necessarily mean that Albert's father was proven right or wrong, as the cheating contestant took away one of the spots from the top 5, but did not change Albert's ranking. Additionally, being named in the top 6 is still an achievement and not the same as not receiving a laptop.",3,"Based on the given scenario, Albert would ultimately feel (b) embarrassment and (f) guilt.

Explanation:

(a) Jealousy - While Albert may be disappointed at not receiving the laptop, jealousy is an unlikely emotion as there is no indication that Albert wanted something from someone else.

(b) Embarrassment - As Albert fell short of his goal and did not receive the laptop, he would likely feel embarrassed about not achieving what he set out to do.

(c) Nervousness - Nervousness is not a common emotion associated with this scenario as there is no external pressure or stressful situation that would cause nervousness.

(d) Delight - Delight is not a likely emotion for Albert in this situation as he did not achieve his goal and did not receive the laptop.

(e) Disapproval - Disapproval is not a likely emotion for Albert in this situation as there is no indication that he disapproved of anyone's actions or behavior.

(f) Guilt - Since Albert knows that he did not achieve his goal due to the cheating contestant, he would likely feel guilty for not meeting his own expectations and disappointing his father.",5,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5.",2,(a) Jealousy,0,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(a) Jealousy,0,(a) He proved his father right.,0
"['Relief', 'Sadness', 'Anger', 'Hopeless', 'Amusement', 'Guilt']",0,"['She got praised by her boss', 'She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.']",1,(c) Anger,2,(b) She was able to dance away her frustration and stress.,1,(c) Anger.,2,(b) She was able to dance away her frustration and stress.,1,(c) Anger.,2,(b) She was able to dance away her frustration and stress.,1,(c) Anger.,2,(b) She was able to dance away her frustration and stress.,1,(c) Anger.,2,(b) She was able to dance away her frustration and stress.,1
"['Disapproval', 'Amusement', 'Annoyance', 'Nervousness', 'Fear', 'Unbothered']",1,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,(a) Disapproval.,0,(c) The person shouting at him turned out to be his dad.,2,(f) Unbothered.,5,(c) The person shouting at him turned out to be his dad.,2,(b) Amusement,1,(c) The person shouting at him turned out to be his dad.,2,(c) Annoyance.,2,(c) The person shouting at him turned out to be his dad.,2,(a) Disapproval,0,(c) The person shouting at him turned out to be his dad.,2
"['Anger', 'Disappointment', 'Jealousy', 'Nervousness', 'Annoyance', 'Gratitude']",0,"[""I wasn't invited to the birthday party"", 'I found out his friend talks badly about me behind his back', ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back.,1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back,1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back.,1,(a) Anger.,0,(b) I found out his friend talks badly about me behind his back.,1,(c) Jealousy,2,(b) I found out his friend talks badly about me behind his back,1
"['Hopeful', 'Fear', 'Hopeless', 'Disapproval', 'Gratitude', 'Embarrassment']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He used the criticism to improve his idea', 'He loved presenting his ideas to the team.']",2,(e) Gratitude,4,(c) He used the criticism to improve his idea.,2,(e) Gratitude,4,(c) He used the criticism to improve his idea.,2,(e) Gratitude,4,(c) He used the criticism to improve his idea.,2,(e) Gratitude.,4,(c) He used the criticism to improve his idea.,2,(e) Gratitude.,4,(c) He used the criticism to improve his idea.,2
"['Pride', 'Jealousy', 'Sadness', 'Disappointment', 'Embarrassment', 'Delight']",5,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.']",0,(a) Pride.,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction,1
"['Delight', 'Disappointment', 'Anger', 'Pessimism', 'Remorse', 'Anticipation']",0,"['He has a new camera', 'He just likes sitting outside', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.']",2,"The correct answer is (a) Delight. 

When Joe first saw the rare bluebird, he must have felt delight and excitement. However, when the bird flew away, he may have experienced disappointment. However, as the bird returned, he would likely feel a renewed sense of delight and anticipation for capturing its image again.",0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight.,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(b) Disappointment,1,(c) He finally gets to take pictures of the bird he was looking for.,2
