Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Anger', 'Delight', 'Hopeless', 'Embarrassment']",3,"['The Baklava was not ruined', 'Her daughter just arrived home', 'She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined']",3,Answer : (a ) Disppointmnet,0,Answer : (d ) Her Daughter enjoyed The baklava Despite it Being ruin,3,Answer : (a ) Disppointmnet,0,Answer : (d ) Her Daughter enjoyed The baklava Despite it Being ruin,3,Answer : (a ) Disppointmnet,0,Answer : (d ) Her Daughter enjoyed The baklava Despite it Being ruin,3,Answer : (a ) Disppointmnet,0,Answer : (d ) Her Daughter enjoyed The baklava Despite it Being ruin,3,Answer : (a ) Disppointmnet,0,Answer : (d ) Her Daughter enjoyed The baklava Despite it Being ruin,3
"['Hopeless', 'Anger', 'Delight', 'Disappointment', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'He thought he had painted the perfect portrait']",1,Answer : (c ) Deligh,2,Answer : (c ) He Made a Mistake in A Painting He Cared About,2,Answer : (c ) Deligh,2,Answer : (c ) He Made a Mistake in A Painting He Cared About,2,Answer : (c ) Deligh,2,Answer : (c ) He Made a Mistake in A Painting He Cared About,2,Answer : (c ) Deligh,2,Answer : (c ) He Made a Mistake in A Painting He Cared About,2,Answer : (c ) Deligh,2,Answer : (c ) He Made a Mistake in A Painting He Cared About,2
"['Embarrassment & Sadness', 'Embarrassment & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",2,"['His boss showed up and praised his work', 'Nobody from work showed up', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",0,Answer : (c ) Grattitude&Joy,2,Answer : (b ) Noboby from Work showed Up,1,Answer : (c ) Grattitude&Joy,2,Answer : (b ) Noboby from Work showed Up,1,Answer : (c ) Grattitude&Joy,2,Answer : (b ) Noboby from Work showed Up,1,Answer : (c ) Grattitude&Joy,2,Answer : (b ) Noboby from Work showed Up,1,Answer : (c ) Grattitude&Joy,2,Answer : (b ) Noboby from Work showed Up,1
"['Disapproval', 'Embarrassment', 'Nervousness', 'Jealousy', 'Guilt', 'Delight']",5,"['He was named in the top 6', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'His father was going to buy him a new laptop', 'He proved his father right']",1,Answer : (e ) Guilty,4,"Answer : (b). Because One of The Top  Five Contestants Cheated And Was Disqualifed, This Put Him In The top Five.",1,Answer : (e ) Guilty,4,"Answer : (b). Because One of The Top  Five Contestants Cheated And Was Disqualifed, This Put Him In The top Five.",1,Answer : (e ) Guilty,4,"Answer : (b). Because One of The Top  Five Contestants Cheated And Was Disqualifed, This Put Him In The top Five.",1,Answer : (e ) Guilty,4,"Answer : (b). Because One of The Top  Five Contestants Cheated And Was Disqualifed, This Put Him In The top Five.",1,Answer : (e ) Guilty,4,"Answer : (b). Because One of The Top  Five Contestants Cheated And Was Disqualifed, This Put Him In The top Five.",1
"['Relief', 'Guilt', 'Sadness', 'Anger', 'Hopeless', 'Amusement']",0,"[""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.', 'She was able to dance away her frustration and stress', 'She got praised by her boss']",2,Answer : (c ) Sadnes,2,Answer : (c ) She felt relieved by danced away frustrations and stresses.,2,Answer : (c ) Sadnes,2,Answer : (c ) She felt relieved by danced away frustrations and stresses.,2,Answer : (c ) Sadnes,2,Answer : (c ) She felt relieved by danced away frustrations and stresses.,2,Answer : (c ) Sadnes,2,Answer : (c ) She felt relieved by danced away frustrations and stresses.,2,Answer : (c ) Sadnes,2,Answer : (c ) She felt relieved by danced away frustrations and stresses.,2
"['Annoyance', 'Nervousness', 'Fear', 'Amusement', 'Unbothered', 'Disapproval']",3,"['He enjoys confrontations', 'He loves traffic', 'He enjoys being called a bad driver.', 'The person shouting at him turned out to be his dad']",3,Answer : (c ) F ear,2,Answer : (d). The Person Shouting At Him Turned Out To Be His Dad,3,Answer : (c ) F ear,2,Answer : (d). The Person Shouting At Him Turned Out To Be His Dad,3,Answer : (c ) F ear,2,Answer : (d). The Person Shouting At Him Turned Out To Be His Dad,3,Answer : (c ) F ear,2,Answer : (d). The Person Shouting At Him Turned Out To Be His Dad,3,Answer : (c ) F ear,2,Answer : (d). The Person Shouting At Him Turned Out To Be His Dad,3
"['Nervousness', 'Gratitude', 'Jealousy', 'Disappointment', 'Annoyance', 'Anger']",5,"[""My friend didn't tell me about the party in advance"", 'I am always excluded from parties', 'I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party""]",2,Answer : (e ) AnNOyAnce,4,Answer : (c ) I Found out His Friend Talks Badly About Me Behind His Back,2,Answer : (e ) AnNOyAnce,4,Answer : (c ) I Found out His Friend Talks Badly About Me Behind His Back,2,Answer : (e ) AnNOyAnce,4,Answer : (c ) I Found out His Friend Talks Badly About Me Behind His Back,2,Answer : (e ) AnNOyAnce,4,Answer : (c ) I Found out His Friend Talks Badly About Me Behind His Back,2,Answer : (e ) AnNOyAnce,4,Answer : (c ) I Found out His Friend Talks Badly About Me Behind His Back,2
"['Hopeful', 'Embarrassment', 'Fear', 'Hopeless', 'Gratitude', 'Disapproval']",0,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,Answer : (c ) F ear,2,Answer : (a). He Used the Criticism to Improve His Idea.,0,Answer : (c ) F ear,2,Answer : (a). He Used the Criticism to Improve His Idea.,0,Answer : (c ) F ear,2,Answer : (a). He Used the Criticism to Improve His Idea.,0,Answer : (c ) F ear,2,Answer : (a). He Used the Criticism to Improve His Idea.,0,Answer : (c ) F ear,2,Answer : (a). He Used the Criticism to Improve His Idea.,0
"['Jealousy', 'Delight', 'Pride', 'Sadness', 'Embarrassment', 'Disappointment']",1,"['His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.', ""His parents skipped his younger brother's baseball game to attend his awards ceremony""]",3,Answer : (c ) P ride,2,Answer : (d ) His parent' s skipp ed his younge r brother 's base ball game t o att end his aw ards ceremon y.,3,Answer : (c ) P ride,2,Answer : (d ) His parent' s skipp ed his younge r brother 's base ball game t o att end his aw ards ceremon y.,3,Answer : (c ) P ride,2,Answer : (d ) His parent' s skipp ed his younge r brother 's base ball game t o att end his aw ards ceremon y.,3,Answer : (c ) P ride,2,Answer : (d ) His parent' s skipp ed his younge r brother 's base ball game t o att end his aw ards ceremon y.,3,Answer : (c ) P ride,2,Answer : (d ) His parent' s skipp ed his younge r brother 's base ball game t o att end his aw ards ceremon y.,3
"['Anticipation', 'Remorse', 'Disappointment', 'Anger', 'Pessimism', 'Delight']",5,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,Answer : (c ) Disppointmnet,2,Answer : (b). He Finally Gets to Take Pictures of The Bird He Was Looking For.,1,Answer : (c ) Disppointmnet,2,Answer : (b). He Finally Gets to Take Pictures of The Bird He Was Looking For.,1,Answer : (c ) Disppointmnet,2,Answer : (b). He Finally Gets to Take Pictures of The Bird He Was Looking For.,1,Answer : (c ) Disppointmnet,2,Answer : (b). He Finally Gets to Take Pictures of The Bird He Was Looking For.,1,Answer : (c ) Disppointmnet,2,Answer : (b). He Finally Gets to Take Pictures of The Bird He Was Looking For.,1
