Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Anger', 'Pride', 'Delight', 'Embarrassment', 'Hopeless']",3,"['Her daughter enjoyed the Baklava despite it being ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home', 'The Baklava was not ruined']",0,(d) Delight,3,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(d) Delight,3,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(d) Delight,3,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(d) Delight,3,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(d) Delight,3,(a) Her daughter enjoyed the Baklava despite it being ruined,0
"['Disappointment', 'Anger', 'Delight', 'Hopeless', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He thought he had painted the perfect portrait', 'He made a mistake in a painting he cared about']",1,(c) Delight,2,(d) He made a mistake in a painting he cared about,3,(f) Embarrassment,5,(d) He made a mistake in a painting he cared about.,3,(c) Delight,2,(d) He made a mistake in a painting he cared about,3,(f) Embarrassment,5,(d) He made a mistake in a painting he cared about.,3,(f) Embarrassment,5,(d) He made a mistake in a painting he cared about.,3
"['Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",0,"['His boss showed up and praised his work', 'His coworkers disliked his artwork', 'Nobody from work showed up', ""He didn't like his own drawings""]",0,(f) Embarrassment & Joy,5,(a) His boss showed up and praised his work,0,(f) Embarrassment & Joy,5,(a) His boss showed up and praised his work,0,(f) Embarrassment & Joy,5,(a) His boss showed up and praised his work,0,(f) Embarrassment & Joy,5,(a) His boss showed up and praised his work,0,(f) Embarrassment & Joy,5,(a) His boss showed up and praised his work,0
"['Guilt', 'Disapproval', 'Delight', 'Embarrassment', 'Jealousy', 'Nervousness']",2,"['He was named in the top 6', 'He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5']",3,(d) Embarrassment,3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",3,(d) Embarrassment,3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",3,(d) Embarrassment,3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",3,(d) Embarrassment,3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",3,(d) Embarrassment,3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",3
"['Anger', 'Relief', 'Amusement', 'Hopeless', 'Sadness', 'Guilt']",1,"['She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'She got praised by her boss', 'Her client accepted her work after many changes.']",0,(b) Relief,1,(a) She was able to dance away her frustration and stress.,0,(b) Relief,1,(a) She was able to dance away her frustration and stress.,0,(b) Relief,1,(a) She was able to dance away her frustration and stress.,0,(b) Relief,1,(a) She was able to dance away her frustration and stress.,0,(b) Relief,1,(a) She was able to dance away her frustration and stress.,0
"['Disapproval', 'Amusement', 'Fear', 'Nervousness', 'Annoyance', 'Unbothered']",1,"['He enjoys being called a bad driver.', 'He enjoys confrontations', 'He loves traffic', 'The person shouting at him turned out to be his dad']",3,(e) Annoyance,4,(d) The person shouting at him turned out to be his dad,3,(c) Fear,2,(d),3,(c) Fear,2,(d),3,(e) Annoyance,4,(d) The person shouting at him turned out to be his dad,3,(c) Fear,2,(d),3
"['Jealousy', 'Anger', 'Disappointment', 'Annoyance', 'Gratitude', 'Nervousness']",1,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",0,(c) Disappointment,2,(a) I found out his friend talks badly about me behind his back,0,(c) Disappointment,2,(a) I found out his friend talks badly about me behind his back,0,(c) Disappointment,2,(a) I found out his friend talks badly about me behind his back,0,(b) Anger,1,(a) I found out his friend talks badly about me behind his back,0,(b) Anger,1,(a) I found out his friend talks badly about me behind his back,0
"['Fear', 'Embarrassment', 'Hopeful', 'Hopeless', 'Gratitude', 'Disapproval']",2,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0
"['Embarrassment', 'Pride', 'Jealousy', 'Sadness', 'Delight', 'Disappointment']",4,"[""His parents managed to attend both his ceremony and his brother's baseball game"", ""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",1,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2
"['Disappointment', 'Anger', 'Remorse', 'Delight', 'Pessimism', 'Anticipation']",3,"['He finally gets to take pictures of the bird he was looking for', 'He has a new camera', 'He just likes sitting outside', 'He enjoys sitting on a tree branch.']",0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for,0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for,0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for,0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for,0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for,0
"['Sadness', 'Pride', 'Disapproval', 'Relief', 'Trust', 'Sentimental']",3,"['She stayed up all night', 'She finished her painting', 'She has doubts about her painting', 'Her brother appreciated her painting']",3,(b) Pride,1,(d) Her brother appreciated her painting,3,(b) Pride,1,(d) Her brother appreciated her painting,3,(b) Pride,1,(d) Her brother appreciated her painting,3,(b) Pride,1,(d) Her brother appreciated her painting,3,(b) Pride,1,(d) Her brother appreciated her painting,3
"['Hopeful', 'Disappointment', 'Fear', 'Nervousness', 'Love', 'Disgust']",4,"['She is forced to care for the puppy', 'She feels gratitude for the puppy not attacking her', 'She begins to take care of and develop a bond with the puppy', 'She feels pity for every dog now.']",2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2
"['Anticipation', 'Amusement', 'Guilt', 'Relief', 'Nervousness', 'Pride']",3,"['She discovered a virus outbreak in her college', 'She could not find time to study because of her social life', 'She was upset about the cancellation of her exams', 'She was worried about the exam but it got cancelled']",3,(d) Relief,3,(d) She was worried about the exam but it got cancelled.,3,(d) Relief,3,(d) She was worried about the exam but it got cancelled.,3,(d) Relief,3,(d) She was worried about the exam but it got cancelled.,3,(d) Relief,3,(d) She was worried about the exam but it got cancelled.,3,(d) Relief,3,(d) She was worried about the exam but it got cancelled.,3
"['Remorse', 'Disappointment', 'Embarrassment', 'Admiration', 'Anger', 'Gratitude']",3,"['Jessica was helping a family stuck on the highway', 'Jessica arrived at the date after two hours', 'Jessica was stuck in traffic', 'Jessica apologized for being late']",0,(f) Gratitude,5,(a) Jessica was helping a family stuck on the highway,0,(f) Gratitude,5,(d) Jessica apologized for being late,3,(f) Gratitude,5,(d) Jessica apologized for being late,3,(f) Gratitude,5,(a) Jessica was helping a family stuck on the highway,0,(f) Gratitude,5,(a) Jessica was helping a family stuck on the highway,0
"['Guilt', 'Trust', 'Gratitude', 'Amusement', 'Disapproval', 'Curiosity']",0,"['She was late to the date because she stopped to help a family on the way', 'She was thinking about ending the date early.', 'She felt she should not have agreed to the date with Roger', 'She had to leave the family on the highway to come to the date']",0,(a) Guilt,0,(a) She was late to the date because she stopped to help a family on the way,0,(a) Guilt,0,(a) She was late to the date because she stopped to help a family on the way,0,(a) Guilt,0,(a) She was late to the date because she stopped to help a family on the way,0,(a) Guilt,0,(a) She was late to the date because she stopped to help a family on the way,0,(a) Guilt,0,(a) She was late to the date because she stopped to help a family on the way,0
"['Admiration & Pride', 'Amusement & Indifferent', 'Disappointment & Remorse', 'Disappointment & Indifferent', 'Disappointment & Admiration', 'Pride & Remorse']",4,"['I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision', 'I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award', 'I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision', 'I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award', ""I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award"", ""I think I wasn't good enough to win the award & I am convinced that our boss was biased in his decision""]",4,(c) Disappointment & Remorse,2,(d) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,3,(c) Disappointment & Remorse,2,(d) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,3,(c) Disappointment & Remorse,2,(d) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,3,(c) Disappointment & Remorse,2,(d) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,3,(c) Disappointment & Remorse,2,(d) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,3
"['Disapproval & Embarrassment', 'Sadness & Pride', 'Anger & Nervousness', 'Sadness & Nervousness', 'Pride & Nervousness', 'Embarrassment & Nervousness']",1,"['He felt bad that I lost & He knew the boss is biased towards him', ""He was hoping to lose the award & He didn't believe that he deserved the award"", 'He felt bad that I lost & He worked hard for the award', 'He worked hard for the award & He knew the boss is biased towards him', 'He was hoping to lose the award & He knew the boss is biased towards him', 'He was expecting a huge celebration after winning the award & He felt bad that I lost']",2,(e) Pride & Nervousness,4,(c) He felt bad that I lost & He worked hard for the award,2,(e) Pride & Nervousness,4,(c) He felt bad that I lost & He worked hard for the award,2,(b) Sadness & Pride,1,(c) He felt bad that I lost & He worked hard for the award,2,(b) Sadness & Pride,1,(c) He felt bad that I lost & He worked hard for the award,2,(e) Pride & Nervousness,4,(c) He felt bad that I lost & He worked hard for the award,2
"['Relief & Delight', 'Embarrassment & Pride', 'Disappointment & Pride', 'Pride & Excitement', 'Relief & Disappointment', 'Embarrassment & Excitement']",4,"['I passed the exam after thinking I would fail & I did many practice tests before the exam', 'I had studied extensively for the math exam & I did many practice tests before the exam', 'I had studied extensively for the math exam & I wanted to do better in the exam', 'I did many practice tests before the exam & I wanted to do better in the exam', 'I passed the exam after thinking I would fail & I wanted to do better in the exam', ""I couldn't remember the material during the exam & I wanted to do better in the exam""]",4,(e) Relief & Disappointment,4,(e) I passed the exam after thinking I would fail & I wanted to do better in the exam,4,(e) Relief & Disappointment,4,(e) I passed the exam after thinking I would fail & I wanted to do better in the exam,4,(e) Relief & Disappointment,4,(e) I passed the exam after thinking I would fail & I wanted to do better in the exam,4,(e) Relief & Disappointment,4,(e) I passed the exam after thinking I would fail & I wanted to do better in the exam,4,(e) Relief & Disappointment,4,(e) I passed the exam after thinking I would fail & I wanted to do better in the exam,4
"['Excitement & Nervousness & Delight', 'Nervousness & Delight & Embarrassment', 'Nervousness & Pride & Delight', 'Excitement & Delight & Embarrassment', 'Excitement & Pride & Embarrassment', 'Excitement & Embarrassment & Hopeless']",3,"[""She finally got the chance to talk to Taylor Swift & She can enjoy coffee while listening to Taylor Swift & She didn't know the concert is held in her favorite city"", ""Everybody else wants her to go to the concert & She's scared of crowded places like concerts & The people in the coffeeshop liked her voice"", 'She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist', ""She finally got the chance to talk to Taylor Swift & She didn't get the chance to go to the concert & She didn't know the concert is held in her favorite city"", ""She's scared of crowded places like concerts & She actually got the ticket, despite the long waitlist & She's surprised by Taylor Swift's recent music album"", ""Everybody else wants her to go to the concert & She screamed in the cafe & She didn't get the chance to go to the concert""]",2,(d) Excitement & Delight & Embarrassment,3,(c),2,(d) Excitement & Delight & Embarrassment,3,(c),2,(d) Excitement & Delight & Embarrassment,3,(c),2,(d) Excitement & Delight & Embarrassment,3,(c),2,(d) Excitement & Delight & Embarrassment,3,(c),2
"['Excitement & Sadness & Embarrassment', 'Sadness & Hopeless & Embarrassment', 'Sadness & Nervousness & Hopeless', 'Excitement & Nervousness & Annoyance', 'Nervousness & Annoyance & Embarrassment', 'Excitement & Sadness & Nervousness']",5,"['She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own', 'She is about to experience life away from her family & She has to face new problems on her own & She fears losing the doll', 'She is excited about packing & She wants to leave her family as soon as possible & She fears losing the doll', ""She thinks she would stay with her parents forever if she doesn't leave & She worries her family can't take care of themselves & She fears losing the doll"", ""She has to face new problems on her own & She worries her family can't take care of themselves & She fears losing the doll"", 'She wants to leave her family as soon as possible & She has to face new problems on her own & She fears losing the doll']",0,(f) Excitement & Sadness & Nervousness,5,(a) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,0,(f) Excitement & Sadness & Nervousness,5,(a) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,0,(f) Excitement & Sadness & Nervousness,5,(a) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,0,(f) Excitement & Sadness & Nervousness,5,(a) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,0,(f) Excitement & Sadness & Nervousness,5,(a) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,0
"['Disappointment & Pride & Embarrassment', 'Annoyance & Disappointment & Pride', 'Disappointment & Hopeless & Embarrassment', 'Disappointment & Pride & Hopeless', 'Annoyance & Pride & Relief', 'Disappointment & Relief & Hopeless']",1,"['I applied to a significant number of universities & I did not want to get an offer from other universities & I get to attend a university on a full scholarship', 'I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship', 'I applied to a significant number of universities & I got an offer from a low ranking university & I received an email instead of a call', 'I applied to a significant number of universities & I get to attend a university on a full scholarship & I got into my dream university', 'I was rejected by my dream university & I got an offer from a low ranking university & I did not want to get an offer from other universities', 'I applied to a significant number of universities & I got an offer from a low ranking university & I am better than the admission team']",1,(d) Disappointment & Pride & Hopeless,3,(b) I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship,1,(d) Disappointment & Pride & Hopeless,3,(b) I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship,1,(d) Disappointment & Pride & Hopeless,3,(b) I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship,1,(d) Disappointment & Pride & Hopeless,3,(b) I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship,1,(d) Disappointment & Pride & Hopeless,3,(b) I got rejected by some universities but offered a full scholarship by another & I was rejected by my dream university & I get to attend a university on a full scholarship,1
